SMILES,Molecular Formula,MolWeight,logP,Hydrogen Acceptors,Hydrogen Donors,TopologicalPolarSurfaceArea,RingCount,Charge,Covalent_Unit_Count,Isotopic_Atom_Count,Total_Atom_Stereo_Count,Defined_Atom_Stereo_Count,Undefined_Atom_Stereo_Count,Total_Bond_Stereo_Count,Defined_Bond_Stereo_Count,Undefined_Bond_Stereo_Count,Can_Smi,IUPAC,Mol_Form,Compound_CID,Molecular_Formula,IUPAC_Name,Antioxidant,Anti-inflammatory,Toxic
CC1(C=CC2=C(O1)C=CC(=C2O)C3CC(=O)C4=C(C=C(C=C4O3)O)O)C,,354.358,3.6941,6,3,96.22,4,0,1,0,1,0,1,0,0,0,CC1(C)C=Cc2c(ccc(C3CC(=O)c4c(O)cc(O)cc4O3)c2O)O1,"5,7-dihydroxy-2-(5-hydroxy-2,2-dimethylchromen-6-yl)-2,3-dihydrochromen-4-one",C20H18O6,,,,FALSE,TRUE,FALSE
CC1(C=CC2=C(O1)C=CC3=C2OC(CC3=O)C4=CC5=C(C=C4)OCO5)C,,350.37,4.306,5,0,53.99,5,0,1,0,1,0,1,0,0,0,CC1(C)C=Cc2c(ccc3c2OC(c2ccc4c(c2)OCO4)CC3=O)O1,"2-(1,3-benzodioxol-5-yl)-8,8-dimethyl-2,3-dihydropyrano[2,3-f]chromen-4-one",C21H18O5,,,,FALSE,TRUE,FALSE
CC1(C=CC2=C(O1)C=CC3=C2O[C@@H](CC3=O)C4=CC(=C(C=C4)OC)OC)C,,366.413,4.5945,5,0,53.99,4,0,1,0,1,1,0,0,0,0,COc1ccc([C@@H]2CC(=O)c3ccc4c(c3O2)C=CC(C)(C)O4)cc1OC,"(2S)-2-(3,4-dimethoxyphenyl)-8,8-dimethyl-2,3-dihydropyrano[2,3-f]chromen-4-one",C22H22O5,,,,FALSE,TRUE,FALSE
CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC)C,,394.423,4.0079,6,0,63.22,5,0,1,0,2,2,0,0,0,0,,,,107935,C23H22O6,"(1S,14S)-17,18-dimethoxy-7,7-dimethyl-2,8,21-trioxapentacyclo[12.8.0.03,12.04,9.015,20]docosa-3(12),4(9),5,10,15,17,19-heptaen-13-one",FALSE,FALSE,TRUE
CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@]4(C3=O)O)OC)OC)C,,410.422,3.1119,7,1,83.45,5,0,1,0,2,2,0,0,0,0,COc1cc2c(cc1OC)[C@]1(O)C(=O)c3ccc4c(c3O[C@@H]1CO2)C=CC(C)(C)O4,"(1R,14R)-14-hydroxy-17,18-dimethoxy-7,7-dimethyl-2,8,21-trioxapentacyclo[12.8.0.03,12.04,9.015,20]docosa-3(12),4(9),5,10,15,17,19-heptaen-13-one",C23H22O7,,,,FALSE,TRUE,FALSE
CC1(C=CC2=C3C(=C(C=C2O1)OC)C=CC(=O)O3)C,,258.273,2.9858,4,0,48.67,3,0,1,0,0,0,0,0,0,0,COc1cc2c(c3oc(=O)ccc13)C=CC(C)(C)O2,"5-methoxy-8,8-dimethylpyrano[2,3-f]chromen-2-one",C15H14O4,,,,FALSE,TRUE,FALSE
CC1(CC(C2=C(C1)N(N=C2)C3=CC=C(C=C3)F)NC(=O)CCC(=O)OC)C,C20H24FN3O3,373.428,3.0943,5,1,73.22,3,0,1,0,1,0,1,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1(CC(CC(N1)(C)C)NC(=O)COC2=C(C=C(C=C2)Cl)Cl)C,C17H24Cl2N2O2,359.297,3.7976,3,2,50.36,2,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1(CC2=C(C(=O)NC1)SC(=N2)N3CCCCC3)C,C14H21N3OS,279.409,2.4455,4,1,45.23,3,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1(CC2=C(C(NC3=CC=CC=C3N2)C4=CC=C(C=C4)[N+](=O)[O-])C(=O)C1)C,C21H21N3O3,363.417,4.8167,5,2,84.27,4,0,1,0,1,0,1,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1(CCC2(CCC3(C(CCC4C3(CCC5C4(CC(O)C(O)C5(C)C)C)C)=C2C1C)C)C(O)=O)O,,488.709,5.3193,4,4,97.99,5,0,1,0,10,0,10,0,0,0,CC1C2=C3CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC4(C)C3(C)CCC2(C(=O)O)CCC1(C)O,,C30H48O5,,,,FALSE,TRUE,FALSE
CC1(CC[C@H](OC(C)=O)[C@]2([C@]1([C@@H](O)[C@H](OC(C)=O)[C@@]3([C@@]2(CC4=C(C=CO4)[C@@]3(C)OC)[H])[H])O)C)C,,464.555,2.725,8,2,115.43,4,0,1,0,8,8,0,0,0,0,CO[C@]1(C)c2ccoc2C[C@H]2[C@H]1[C@@H](OC(C)=O)[C@H](O)[C@@]1(O)C(C)(C)CC[C@H](OC(C)=O)[C@]21C,,C25H36O8,,,,FALSE,TRUE,FALSE
CC1(CNC2=C(S1)C=CC(=C2)[N+](=O)[O-])C,C10H12N2O2S,224.285,2.891,4,1,55.17,2,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1(COCN1C(=O)C2=CC(=C(C=C2)Cl)Cl)C,C12H13Cl2NO2,274.147,3.2019,2,0,29.54,2,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1(COCN1C(=O)C2=CC=C(C=C2)C#N)C,C13H14N2O2,230.267,1.76678,3,0,53.33,2,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1(CON(C1=O)CC2=CC=CC=C2Cl)C,C12H14ClNO2,239.702,2.64,2,0,29.54,2,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1(CSC(=S)N1S(=O)(=O)C2=CC=CC=C2)C,C11H13NO2S3,287.431,2.4876,4,0,37.38,2,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1(C[C@@H](C[C@]2([C@]1(CC[C@@]3([C@@]2(CC[C@@]4([C@]3([C@@]4([H])CO)[H])C)[H])[H])[H])C)OC(C)=O)C,,348.527,4.4252,3,1,46.53,4,0,1,0,8,8,0,0,0,0,CC(=O)O[C@H]1CC(C)(C)[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H](CO)[C@@H]34)[C@@]2(C)C1,,C22H36O3,,,,FALSE,TRUE,FALSE
CC1(C[C@@H](C[C@]2([C@]1(CC[C@@]3([C@@]2(C[C@@H](OC(C)=O)[C@@]4([C@]3([C@@]4([H])CO)[H])C)[H])[H])[H])C)OC(C)=O)C,,406.563,3.9668,5,1,72.83,4,0,1,0,9,9,0,0,0,0,CC(=O)O[C@H]1CC(C)(C)[C@@H]2CC[C@@H]3[C@H](C[C@@H](OC(C)=O)[C@@]4(C)[C@H](CO)[C@@H]34)[C@@]2(C)C1,,C24H38O5,,,,FALSE,TRUE,FALSE
CC1(SC(SC(S1)(C)C)(C)C)C,,222.444,4.4079,3,0,0,1,0,1,0,0,0,0,0,0,0,,,,13233,C9H18S3,"2,2,4,4,6,6-hexamethyl-1,3,5-trithiane",FALSE,FALSE,TRUE
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,,365.411,0.0237,6,4,132.96,3,0,1,0,4,4,0,0,0,0,,,,33613,C16H19N3O5S,"(2S,5R,6R)-6-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",FALSE,FALSE,TRUE
CC1([C@@H]([C@@H]1C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,,416.304,6.17798,4,0,59.32,3,0,1,0,3,3,0,0,0,0,,,,3086172,C22H19Cl2NO3,"[(R)-cyano-(3-phenoxyphenyl)methyl] (1S,3S)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",FALSE,FALSE,TRUE
CC1([C@@H]2CCC1([C@H](C2)O)C)C,,154.253,2.1935,1,1,20.23,2,0,1,0,3,2,1,0,0,0,,,,44630107,C10H18O,"(2S,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol",FALSE,FALSE,TRUE
CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,,416.304,6.17798,4,0,59.32,3,0,1,0,3,3,0,0,0,0,,,,93357,C22H19Cl2NO3,"[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",FALSE,FALSE,TRUE
CC1([C@H]2CC=C([C@@H]1C2)C=O)C,,150.221,2.1777,1,0,17.07,3,0,1,0,2,2,0,0,0,0,,,,1201529,C10H14O,"(1R,5S)-6,6-dimethylbicyclo[3.1.1]hept-2-ene-2-carbaldehyde",FALSE,FALSE,TRUE
CC12C3C(C(N1C(=O)N(C2=O)C4=CC(=CC=C4)Br)C5=CC=C(C=C5)Cl)C(=O)N(C3=O)C6CCCCC6,C27H25BrClN3O4,570.871,5.3186,4,0,78,6,0,1,0,4,0,4,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC12CCC(CC1O2)C3(CO3)C,,168.236,1.7329,2,0,25.06,3,0,1,0,4,0,4,0,0,0,,,,232703,C10H16O2,1-methyl-4-(2-methyloxiran-2-yl)-7-oxabicyclo[4.1.0]heptane,FALSE,FALSE,TRUE
CC12C[C@H](C3C[C@]1(C3(C(=O)O2)COC(=O)C4=CC=CC=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O,,480.466,-1.5149,11,5,172.21,6,0,1,0,10,7,3,0,0,0,CC12C[C@@H](O)C3C[C@@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3(COC(=O)c1ccccc1)C(=O)O2,"[(1R,4R)-4-hydroxy-6-methyl-8-oxo-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7-oxatricyclo[4.3.0.03,9]nonan-9-yl]methyl benzoate",C23H28O11,,,,FALSE,TRUE,FALSE
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,C20H28O2,300.442,5.6026,1,1,37.3,1,0,1,0,0,0,0,4,4,0,,,,,,,TRUE,FALSE,FALSE
CC1=C(C(=C(C(=C1OC)C(=O)C)O)CC2=C(C=C(C3=C2O[C@@H]([C@H](C3)O)C4=CC(=C(C=C4)O)O)O)O)O,,498.484,3.06772,10,7,177.14,4,0,1,0,2,2,0,0,0,0,COc1c(C)c(O)c(Cc2c(O)cc(O)c3c2O[C@H](c2ccc(O)c(O)c2)[C@@H](O)C3)c(O)c1C(C)=O,"1-[3-[[(2R,3S)-2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-chromen-8-yl]methyl]-2,4-dihydroxy-6-methoxy-5-methylphenyl]ethanone",C26H26O10,,,,FALSE,TRUE,FALSE
CC1=C(C(=C(C2=C1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)OC(=O)C)C,,472.754,9.05996,3,0,35.53,2,0,1,0,3,3,0,0,0,0,,,,86472,C31H52O3,"[(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-yl] acetate",TRUE,FALSE,TRUE
CC1=C(C(=C(N1)O)C=NC2=CC=C(C=C2)C#N)C(=O)OC,C15H13N3O3,283.287,2.4376,5,2,98.47,2,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1=C(C(=C(N=C1C(=O)O)C2=NC3=C(C=C2)C(=O)C(=C(C3=O)N)OC)N)C4=C(C(=C(C=C4)OC)OC)O,,506.471,2.31792,11,4,197.18,4,0,1,0,0,0,0,0,0,0,,,,5298,C25H22N4O8,"5-amino-6-(7-amino-6-methoxy-5,8-dioxoquinolin-2-yl)-4-(2-hydroxy-3,4-dimethoxyphenyl)-3-methylpyridine-2-carboxylic acid",FALSE,FALSE,TRUE
CC1=C(C(=CC=C1)C)C,,120.195,2.61186,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,10686,C9H12,"1,2,3-trimethylbenzene",FALSE,FALSE,TRUE
CC1=C(C(=CC=C1)C)NC(=O)C2=CC=CC=C2C(=O)O,C16H15NO3,269.3,3.25394,2,2,66.4,2,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1=C(C(=CC=C1)N2C3=C(C=N2)C(CCC3)NC(=O)CC(F)(F)F)C,C18H20F3N3O,351.372,3.93514,3,1,46.92,3,0,1,0,1,0,1,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1=C(C(=CC=C1)O)O,,124.139,1.40622,2,2,40.46,1,0,1,0,0,0,0,0,0,0,,,,340,C7H8O2,"3-methylbenzene-1,2-diol",FALSE,FALSE,TRUE
CC1=C(C(=NN1C)C)S(=O)(=O)N(CC(=O)NC2=CC3=C(C=C2)OCCO3)C4=CC=C(C=C4)OC,C23H26N4O6S,486.55,2.65074,8,1,111.99,4,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,,863.365,17.8539,4,0,52.6,1,0,1,0,0,0,0,9,9,0,,,,5281915,C59H90O4,"2-[(2E,6E,10E,14E,18E,22E,26E,30E,34E)-3,7,11,15,19,23,27,31,35,39-decamethyltetraconta-2,6,10,14,18,22,26,30,34,38-decaenyl]-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione",TRUE,FALSE,TRUE
CC1=C(C(=O)C2=C(O1)C=C(C=C2OC(=O)C)OC(=O)C)C3=CC4=C(C=C3)OCCCO4,C23H20O8,424.405,3.78032,8,0,101.27,4,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C,,444.659,8.9179,2,0,34.14,2,0,1,0,0,0,0,3,3,0,,,,5282367,C31H40O2,"2-methyl-3-[(2E,6E,10E)-3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraenyl]naphthalene-1,4-dione",FALSE,FALSE,TRUE
CC1=C(C(=O)N(N1)C2=CC=CC=C2)C=NNC3=NC(=CN=N3)C4=CC=CC=C4,C20H17N7O,371.404,2.77202,7,2,100.85,4,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1=C(C(=O)N(N1)C2=NC(=CC(=O)N2)C3=CC=CC=C3F)CCO,C16H15FN4O3,330.319,0.89822,5,3,103.77,3,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1=C(C(=O)NC(=C1C=NC2=CC=C(C=C2)S(=O)(=O)CCO)O)C#N,C16H15N3O5S,361.379,0.7772,7,3,143.61,2,0,1,0,0,0,0,0,0,0,,,,,,,TRUE,FALSE,FALSE
CC1=C(C(=O)O[C@H](C1)[C@@H](C)C2=C[C@@H]([C@@]3([C@@]2(CC[C@H]4[C@H]3CC[C@@H]5[C@@]4(C(=O)C[C@@H]([C@@H]5O)O)C)C)O)OC(=O)C)C,,530.658,3.0206,8,3,130.36,5,0,1,0,11,11,0,0,0,0,CC(=O)O[C@H]1C=C([C@H](C)[C@H]2CC(C)=C(C)C(=O)O2)[C@@]2(C)CC[C@H]3[C@@H](CC[C@H]4[C@@H](O)[C@@H](O)CC(=O)[C@]34C)[C@]12O,"[(3S,4R,5R,8R,9S,10R,13R,14R,15S)-17-[(1S)-1-[(2R)-4,5-dimethyl-6-oxo-2,3-dihydropyran-2-yl]ethyl]-3,4,14-trihydroxy-10,13-dimethyl-1-oxo-3,4,5,6,7,8,9,11,12,15-decahydro-2H-cyclopenta[a]phenanthren-15-yl] acetate",C30H42O8,,,,FALSE,TRUE,FALSE
CC1=C(C(=O)O[C@H](C1)[C@@H](C)C2=C[C@@H]([C@@]3([C@@]2(CC[C@H]4[C@H]3C[C@@H]5[C@]6([C@@]4(C(=O)C=C[C@@H]6O)C)O5)C)O)OC(=O)C)C,,526.626,2.9571,8,2,122.66,6,0,1,0,11,11,0,0,0,0,CC(=O)O[C@H]1C=C([C@H](C)[C@H]2CC(C)=C(C)C(=O)O2)[C@@]2(C)CC[C@H]3[C@@H](C[C@H]4O[C@]45[C@@H](O)C=CC(=O)[C@]35C)[C@]12O,"[(1S,2R,6S,7R,9R,11R,12R,13S,16R)-15-[(1S)-1-[(2R)-4,5-dimethyl-6-oxo-2,3-dihydropyran-2-yl]ethyl]-6,12-dihydroxy-2,16-dimethyl-3-oxo-8-oxapentacyclo[9.7.0.02,7.07,9.012,16]octadeca-4,14-dien-13-yl] acetate",C30H38O8,,,,FALSE,TRUE,FALSE
CC1=C(C(=O)O[C@H](C1)[C@@H](C)C2=C[C@@H]([C@@]3([C@@]2(CC[C@H]4[C@H]3C[C@H]([C@@]5([C@@]4(C(=O)C=CC5)C)O)O)C)O)OC(=O)C)C,,528.642,2.9407,8,3,130.36,5,0,1,0,10,10,0,0,0,0,CC(=O)O[C@H]1C=C([C@H](C)[C@H]2CC(C)=C(C)C(=O)O2)[C@@]2(C)CC[C@H]3[C@@H](C[C@@H](O)[C@@]4(O)CC=CC(=O)[C@]34C)[C@]12O,"[(5R,6R,8R,9S,10R,13R,14R,15S)-17-[(1S)-1-[(2R)-4,5-dimethyl-6-oxo-2,3-dihydropyran-2-yl]ethyl]-5,6,14-trihydroxy-10,13-dimethyl-1-oxo-4,6,7,8,9,11,12,15-octahydrocyclopenta[a]phenanthren-15-yl] acetate",C30H40O8,,,,FALSE,TRUE,FALSE
CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@@]2(C[C@@H]([C@]3([C@@]2(CC[C@H]4[C@H]3C[C@H]([C@@]5([C@@]4(C(=O)C=CC5)C)O)O)C)O)OC(=O)C)O)C,,546.657,2.1355,9,4,150.59,5,0,1,0,11,11,0,0,0,0,CC(=O)O[C@H]1C[C@@](O)([C@H](C)[C@H]2CC(C)=C(C)C(=O)O2)[C@@]2(C)CC[C@H]3[C@@H](C[C@@H](O)[C@@]4(O)CC=CC(=O)[C@]34C)[C@@]12O,"[(5R,6R,8R,9S,10R,13R,14S,15S,17R)-17-[(1R)-1-[(2R)-4,5-dimethyl-6-oxo-2,3-dihydropyran-2-yl]ethyl]-5,6,14,17-tetrahydroxy-10,13-dimethyl-1-oxo-6,7,8,9,11,12,15,16-octahydro-4H-cyclopenta[a]phenanthren-15-yl] acetate",C30H42O9,,,,FALSE,TRUE,FALSE
CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2C[C@@H]([C@]3([C@@]2(CC[C@H]4[C@H]3C[C@H]([C@@]5([C@@]4(C(=O)C=CC5)C)O)O)C)O)OC(=O)C)C,,530.658,3.0206,8,3,130.36,5,0,1,0,11,11,0,0,0,0,CC(=O)O[C@H]1C[C@H]([C@H](C)[C@H]2CC(C)=C(C)C(=O)O2)[C@@]2(C)CC[C@H]3[C@@H](C[C@@H](O)[C@@]4(O)CC=CC(=O)[C@]34C)[C@@]12O,"[(5R,6R,8R,9S,10R,13R,14S,15S,17R)-17-[(1S)-1-[(2R)-4,5-dimethyl-6-oxo-2,3-dihydropyran-2-yl]ethyl]-5,6,14-trihydroxy-10,13-dimethyl-1-oxo-4,6,7,8,9,11,12,15,16,17-decahydrocyclopenta[a]phenanthren-15-yl] acetate",C30H42O8,,,,FALSE,TRUE,FALSE
CC1=C(C(=O)O[C@H](C1)[C@]2([C@H]3C[C@@H]([C@@H]4[C@@]3(CC[C@H]5[C@H]4C[C@H](C6=CC=CC(=O)[C@]56C)O)[C@H](O2)OC)O)C)C,,498.616,3.2455,7,2,102.29,6,0,1,0,11,11,0,0,0,0,CO[C@H]1O[C@@](C)([C@H]2CC(C)=C(C)C(=O)O2)[C@H]2C[C@H](O)[C@H]3[C@@H]4C[C@@H](O)C5=CC=CC(=O)[C@]5(C)[C@H]4CC[C@@]132,"(1R,2S,3S,5S,6R,8S,9R,12S,13R,19R)-6-[(2R)-4,5-dimethyl-6-oxo-2,3-dihydropyran-2-yl]-3,19-dihydroxy-8-methoxy-6,13-dimethyl-7-oxapentacyclo[10.8.0.02,9.05,9.013,18]icosa-15,17-dien-14-one",C29H38O7,,,,FALSE,TRUE,FALSE
CC1=C(C(=O)O[C@H](C1)[C@]2([C@H]3C[C@@H]([C@@H]4[C@@]3(CC[C@H]5[C@H]4C[C@H]([C@@]6([C@@]5(C(=O)C=CC6)C)O)O)[C@@H](O2)OC)O)C)C,,516.631,2.4403,8,3,122.52,6,0,1,0,12,12,0,0,0,0,CO[C@@H]1O[C@@](C)([C@H]2CC(C)=C(C)C(=O)O2)[C@H]2C[C@H](O)[C@H]3[C@@H]4C[C@@H](O)[C@@]5(O)CC=CC(=O)[C@]5(C)[C@H]4CC[C@@]321,"(1R,2S,3S,5S,6R,8R,9R,12S,13R,18R,19R)-6-[(2R)-4,5-dimethyl-6-oxo-2,3-dihydropyran-2-yl]-3,18,19-trihydroxy-8-methoxy-6,13-dimethyl-7-oxapentacyclo[10.8.0.02,9.05,9.013,18]icos-15-en-14-one",C29H40O8,,,,FALSE,TRUE,FALSE
CC1=C(C(=O)O[C@H](C1)[C@]2([C@H]3C[C@@H]([C@@H]4[C@@]3(CC[C@H]5[C@H]4C[C@H]([C@@]6([C@@]5(C(=O)C=CC6)C)O)O)[C@H](O2)O)O)C)C,,502.604,1.7862,8,4,133.52,6,0,1,0,12,12,0,0,0,0,CC1=C(C)C(=O)O[C@@H]([C@]2(C)O[C@H](O)[C@]34CC[C@H]5[C@@H](C[C@@H](O)[C@@]6(O)CC=CC(=O)[C@]56C)[C@@H]3[C@@H](O)C[C@@H]42)C1,"(1R,2S,3S,5S,6R,8S,9R,12S,13R,18R,19R)-6-[(2R)-4,5-dimethyl-6-oxo-2,3-dihydropyran-2-yl]-3,8,18,19-tetrahydroxy-6,13-dimethyl-7-oxapentacyclo[10.8.0.02,9.05,9.013,18]icos-15-en-14-one",C28H38O8,,,,FALSE,TRUE,FALSE
CC1=C(C(=O)O[C@H](C1)[C@]2([C@H]3C[C@@H]([C@H]4[C@@]3(CC[C@H]5C4C[C@@H]6C(=C5C)C=CCC(=O)O6)[C@@H](O2)OC)O)C)C,,498.616,4.0012,7,1,91.29,6,0,1,0,10,9,1,0,0,0,CO[C@@H]1O[C@@](C)([C@H]2CC(C)=C(C)C(=O)O2)[C@H]2C[C@H](O)[C@@H]3C4C[C@H]5OC(=O)CC=CC5=C(C)[C@H]4CC[C@@]213,"(2R,3S,5S,6R,8R,9R,12S,20R)-6-[(2R)-4,5-dimethyl-6-oxo-2,3-dihydropyran-2-yl]-3-hydroxy-8-methoxy-6,13-dimethyl-7,19-dioxapentacyclo[10.9.0.02,9.05,9.014,20]henicosa-13,15-dien-18-one",C29H38O7,,,,FALSE,TRUE,FALSE
CC1=C(C(=O)O[C@H](C1)[C@]2([C@H]3C[C@@H]([C@H]4[C@@]3(CC[C@H]5C4C[C@@H]6C(=C5C)C=CCC(=O)O6)[C@H](O2)OC)O)C)C,,498.616,4.0012,7,1,91.29,6,0,1,0,10,9,1,0,0,0,CO[C@H]1O[C@@](C)([C@H]2CC(C)=C(C)C(=O)O2)[C@H]2C[C@H](O)[C@@H]3C4C[C@H]5OC(=O)CC=CC5=C(C)[C@H]4CC[C@]123,"(2R,3S,5S,6R,8S,9R,12S,20R)-6-[(2R)-4,5-dimethyl-6-oxo-2,3-dihydropyran-2-yl]-3-hydroxy-8-methoxy-6,13-dimethyl-7,19-dioxapentacyclo[10.9.0.02,9.05,9.014,20]henicosa-13,15-dien-18-one",C29H38O7,,,,FALSE,TRUE,FALSE
CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C,,536.888,12.6058,0,0,0,2,0,1,0,0,0,0,9,9,0,,,,5280489,C40H56,"1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene",TRUE,FALSE,TRUE
CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C,,300.442,5.6026,1,1,37.3,1,0,1,0,0,0,0,4,4,0,,,,449171,C20H28O2,"(2E,4E,6Z,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",TRUE,FALSE,TRUE
CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,,192.302,3.6582,1,0,17.07,1,0,1,0,0,0,0,1,1,0,,,,638014,C13H20O,"(E)-4-(2,6,6-trimethylcyclohexen-1-yl)but-3-en-2-one",TRUE,FALSE,TRUE
CC1=C(C(CCC1)(C)C)/C=C/C(C)O,,194.318,3.45,1,1,20.23,1,0,1,0,1,0,1,1,1,0,,,,5373729,C13H22O,"(E)-4-(2,6,6-trimethylcyclohexen-1-yl)but-3-en-2-ol",FALSE,FALSE,TRUE
